host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.0,48.88451,2.33439,Paris,75018,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$70.00,$40.00,$0.00,30,305,74
100%,,1.0,48.86842,2.40702,Paris,75020,Île-de-France,5,Entire home/apt,2.0,1.0,4.0,$100.00,$30.00,$600.00,5,45,4
,,1.0,48.87952,2.30543,Paris,75017,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$76.00,$40.00,,180,180,30
,,1.0,48.86998,2.35834,Paris,75010,Ile-de-France,2,Private room,1.0,1.0,1.0,$190.00,,,3,7,0
100%,,1.0,48.88528,2.3458799999999997,Paris,75018,Ile-de-France,3,Entire home/apt,0.0,1.0,0.0,$72.00,,,3,365,451
100%,,1.0,48.85339000000001,2.29097,Paris,75015,Ile-de-France,3,Entire home/apt,2.0,1.0,2.0,$120.00,$30.00,,3,21,159
100%,,3.0,48.89713,2.32254,Paris,75017,Ile-de-France,2,Entire home/apt,2.0,1.0,2.0,$49.00,$30.00,$300.00,7,75,9
100%,,1.0,48.87426,2.38511,Paris,75020,,2,Entire home/apt,1.0,1.0,2.0,$80.00,$0.00,$500.00,7,1125,76
,,1.0,48.84549000000001,2.34815,Paris,75005,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$76.00,$49.00,$200.00,60,1095,32
,,1.0,48.88627,2.3793,Paris,75019,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$900.00,,,3,730,0
100%,,2.0,48.8631,2.39527,Paris,75020,Ile-de-France,2,Private room,1.0,1.0,1.0,$50.00,,,3,730,10
80%,,1.0,48.88562,2.37157,Paris,75019,Ile-de-France,4,Entire home/apt,1.0,1.5,3.0,$125.00,,,5,120,54
100%,,2.0,48.8629,2.4038,Paris,75020,Île-de-France,2,Entire home/apt,1.0,1.0,2.0,$50.00,$40.00,$350.00,14,60,0
100%,,1.0,48.85996,2.36755,Paris,75011,Ile-de-France,4,Entire home/apt,2.0,2.0,3.0,$159.00,$60.00,"$1,000.00",5,21,16
100%,,1.0,48.85552,2.40457,Paris,75020,Ile-de-France,4,Entire home/apt,1.0,1.0,1.0,$73.00,$15.00,$150.00,3,30,5
,,1.0,48.8522,2.299,Paris,75015,Ile-de-France,4,Entire home/apt,1.0,,1.0,$175.00,$50.00,,30,365,145
90%,,1.0,48.85613,2.3096900000000002,Paris,75007,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$115.00,$42.00,$150.00,30,305,260
100%,,2.0,48.89119,2.3551599999999997,Paris,75018,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$80.00,$30.00,$350.00,5,365,48
71%,,1.0,48.83892,2.3220099999999997,Paris,75007,Ile-de-France,1,Entire home/apt,0.0,1.0,0.0,$90.00,$15.00,$200.00,1,730,37
0%,,1.0,48.82927,2.35672,Paris,75013,Ile-de-France,4,Entire home/apt,2.0,1.0,1.0,$70.00,$40.00,,6,15,52
100%,,1.0,48.84995,2.37373,Paris,75012,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$128.00,$45.00,$500.00,2,60,344
,,1.0,48.87842,2.35029,Paris,75010,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$114.00,,,30,30,0
90%,,2.0,48.83977,2.35682,Paris,75005,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$88.00,$30.00,$400.00,30,305,67
100%,,1.0,48.854859999999995,2.32885,Paris,75006,Île-de-France,2,Entire home/apt,0.0,1.0,1.0,$65.00,$75.00,$350.00,4,360,85
100%,,1.0,48.82481,2.3233200000000003,Paris,75014,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$150.00,,$300.00,4,730,43
100%,,1.0,48.8912,2.33447,Paris,75018,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$250.00,$80.00,"$1,000.00",2,365,87
100%,,1.0,48.850429999999996,2.37111,Paris,75012,Ile-de-France,3,Private room,1.0,1.0,2.0,$60.00,$15.00,$150.00,3,30,342
100%,,2.0,48.85387,2.3244,Paris,75007,Ile-de-France,2,Entire home/apt,1.0,1.5,1.0,$132.00,$30.00,$0.00,1,10,490
,,2.0,48.85145,2.3870299999999998,Paris,75011,Ile-de-France,5,Entire home/apt,2.0,1.0,3.0,$110.00,$50.00,$200.00,6,60,15
100%,,1.0,48.83613,2.40176,Paris,75012,Ile-de-France,2,Private room,1.0,1.0,1.0,$32.00,,,3,10,87
33%,,1.0,48.88047,2.3940799999999998,Paris,75019,Île-de-France,1,Entire home/apt,1.0,0.0,1.0,$50.00,$15.00,$200.00,20,60,36
,,1.0,48.88257,2.38782,Paris,75019,Ile-de-France,4,Entire home/apt,3.0,2.0,4.0,"$1,800.00",,$200.00,1,28,29
100%,,1.0,48.84106,2.28245,Paris,75015,Île-de-France,7,Entire home/apt,2.0,1.5,4.0,$110.00,$0.00,"$1,000.00",14,365,49
100%,,1.0,48.865109999999994,2.36675,Paris,75011,Ile-de-France,2,Private room,1.0,1.0,0.0,$50.00,,,4,30,20
,,1.0,48.83344,2.3460099999999997,Paris,75013,Île-de-France,4,Entire home/apt,2.0,1.5,2.0,$99.00,,,3,15,202
60%,,1.0,48.8493,2.3902200000000002,Paris,75011,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$59.00,$15.00,,5,365,38
100%,,1.0,48.85172,2.3550400000000002,Paris,75004,Ile-de-France,4,Entire home/apt,1.0,1.5,2.0,$922.00,$134.00,$447.00,2,365,34
100%,,1.0,48.88745,2.34695,Paris,75018,Île-de-France,5,Entire home/apt,2.0,1.5,4.0,$140.00,$80.00,$500.00,2,365,336
100%,,1.0,48.87064,2.3451,Paris,75002,Ile-de-France,2,Private room,1.0,1.0,1.0,$90.00,,,4,30,52
80%,,2.0,48.85672,2.37771,Paris,75011,Ile-de-France,4,Entire home/apt,1.0,1.0,1.0,$139.00,$35.00,$500.00,7,365,11
100%,,2.0,48.85362,2.3633599999999997,Paris,75004,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$95.00,$54.00,$134.00,2,60,20
100%,,1.0,48.87549,2.37224,Paris,75010,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$75.00,,,4,15,65
,,1.0,48.82515,2.3627,Paris,75013,Ile-de-France,2,Private room,1.0,1.0,1.0,$98.00,,,3,12,6
100%,,1.0,48.85768,2.35545,Paris,75004,Île-de-France,4,Entire home/apt,1.0,1.0,0.0,$175.00,$50.00,$500.00,4,25,73
100%,,1.0,48.86091,2.3652900000000003,Paris,75003,Île-de-France,2,Entire home/apt,1.0,1.5,1.0,$166.00,$40.00,"$1,200.00",2,14,175
,,2.0,48.8693,2.37163,Paris,75010,Ile-de-France,2,Entire home/apt,1.0,,1.0,$79.00,$70.00,"$1,200.00",5,500,9
100%,,1.0,48.8783,2.33966,Paris,75009,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$75.00,$30.00,$250.00,3,1125,72
78%,,1.0,48.88868,2.37544,Paris,75019,Ile-de-France,4,Entire home/apt,1.0,1.5,3.0,$78.00,$30.00,$400.00,1,300,51
100%,,1.0,48.88747,2.3260400000000003,Paris,75018,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$150.00,$20.00,$500.00,3,7,63
100%,,3.0,48.865790000000004,2.37937,Paris,75011,Île-de-France,4,Entire home/apt,2.0,1.0,3.0,$140.00,,$250.00,5,730,10
83%,,1.0,48.86965,2.3671900000000003,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$60.00,$30.00,$500.00,28,360,7
65%,,93.0,48.88487,2.34445,Paris,75018,Ile-de-France,4,Entire home/apt,1.0,1.0,3.0,$155.00,$70.00,$900.00,6,365,2
65%,,93.0,48.85329,2.3597799999999998,Paris,75004,,6,Entire home/apt,2.0,1.0,4.0,$215.00,$90.00,$990.00,3,27,40
65%,,93.0,48.85494,2.3629700000000002,Paris,75004,,4,Entire home/apt,1.0,1.0,2.0,$158.00,$70.00,$900.00,2,25,44
100%,,2.0,48.87095,2.35622,Paris,75010,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$92.00,$80.00,$130.00,2,20,27
,,1.0,48.875640000000004,2.3871700000000002,Paris,75019,Ile-de-France,2,Private room,1.0,1.0,1.0,$63.00,,,3,730,0
100%,,2.0,48.89078,2.3601,Paris,75018,Ile-de-France,2,Private room,1.0,1.0,1.0,$34.00,$9.00,$200.00,3,1125,55
,,1.0,48.86603,2.34019,Paris,75002,Île-de-France,4,Entire home/apt,1.0,1.5,1.0,$109.00,$30.00,$150.00,5,25,33
,,1.0,48.85716,2.39633,Paris,75020,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$60.00,$30.00,$200.00,5,30,33
71%,,1.0,48.84299,2.25845,Paris,75016,Île-de-France,3,Entire home/apt,2.0,1.0,2.0,$130.00,$40.00,$800.00,5,30,50
65%,,93.0,48.865629999999996,2.33244,Paris,75001,Ile-de-France,4,Entire home/apt,1.0,1.0,3.0,$175.00,$70.00,$900.00,2,25,28
65%,,93.0,48.853159999999995,2.36302,Paris,75004,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$165.00,$60.00,$500.00,30,1125,37
65%,,93.0,48.87204000000001,2.30966,Paris,75008,Ile-de-France,5,Entire home/apt,1.0,1.0,4.0,$190.00,$70.00,$900.00,3,25,26
,,1.0,48.85715,2.3573,Paris,75004,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$110.00,$35.00,$300.00,30,305,109
,,4.0,48.88752,2.34536,Paris,75018,Ile-de-France,4,Entire home/apt,,1.0,1.0,$85.00,,,270,730,33
100%,,1.0,48.857929999999996,2.3586400000000003,Paris,75004,Ile-de-France,4,Entire home/apt,2.0,1.5,3.0,$320.00,$80.00,"$1,000.00",2,1125,15
100%,,1.0,48.87851,2.37161,Paris,75019,Ile-de-France,3,Entire home/apt,1.0,1.0,2.0,$85.00,$40.00,$400.00,3,90,2
88%,,2.0,48.859590000000004,2.38141,Paris,75011,Ile-de-France,2,Entire home/apt,1.0,1.5,1.0,$71.00,$54.00,$447.00,3,730,268
100%,,1.0,48.88929,2.3518,Paris,75018,Île-de-France,3,Entire home/apt,2.0,2.5,1.0,$160.00,$150.00,"$1,000.00",2,60,15
67%,,1.0,48.83631,2.40076,Paris,75012,Ile-de-France,2,Private room,1.0,1.0,1.0,$48.00,$30.00,$200.00,3,8,6
100%,,2.0,48.86756,2.3690900000000004,Paris,75011,Île-de-France,3,Entire home/apt,2.0,1.5,2.0,$130.00,,$700.00,7,100,16
100%,,1.0,48.8588,2.36659,Paris,75003,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$120.00,$50.00,$800.00,3,10,105
100%,,1.0,48.890570000000004,2.35902,Paris,75018,Ile-de-France,3,Entire home/apt,1.0,1.0,1.0,$61.00,$22.00,$120.00,2,20,21
89%,,2.0,48.87937,2.34331,Paris,75009,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$110.00,$25.00,,2,21,52
100%,,1.0,48.87204000000001,2.3142099999999997,Paris,75008,Île-de-France,4,Entire home/apt,1.0,2.0,2.0,$360.00,$150.00,$500.00,1,45,14
90%,,5.0,48.85816,2.36028,Paris,75004,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$117.00,$60.00,,6,365,57
100%,,1.0,48.87516,2.38382,Paris,75019,Ile-de-France,5,Entire home/apt,2.0,1.5,2.0,$150.00,$35.00,"$1,500.00",4,305,45
100%,,3.0,48.84618,2.30445,Paris,75015,Ile-de-France,2,Private room,1.0,1.0,1.0,$31.00,,,2,365,256
100%,,2.0,48.8397,2.30442,Paris,75015,Ile-de-France,14,Entire home/apt,5.0,2.0,8.0,$630.00,$150.00,"$1,000.00",6,60,28
100%,,4.0,48.844879999999996,2.3303599999999998,Paris,75006,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$150.00,,,2,60,275
90%,,1.0,48.87082,2.2913799999999998,Paris,75116,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$65.00,$40.00,$450.00,2,40,187
100%,,1.0,48.83329000000001,2.3306299999999998,Paris,75014,Ile-de-France,6,Entire home/apt,3.0,2.0,3.0,$99.00,$100.00,"$4,288.00",1,14,4
100%,,1.0,48.893679999999996,2.3841900000000003,Paris,75019,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$120.00,$40.00,$700.00,3,31,12
100%,,1.0,48.887409999999996,2.34924,Paris,75018,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$70.00,$30.00,$200.00,3,20,34
,,2.0,48.87332,2.38002,Paris,75019,Ile-de-France,4,Entire home/apt,2.0,1.0,2.0,$120.00,$50.00,$300.00,2,1125,29
100%,,1.0,48.87477,2.36314,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$103.00,$40.00,$400.00,4,31,90
90%,,7.0,48.88935,2.3795900000000003,Paris,75019,Île-de-France,5,Entire home/apt,2.0,1.0,2.0,$105.00,$50.00,$700.00,5,14,20
100%,,1.0,48.87676,2.29362,Paris,75017,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$80.00,$30.00,$800.00,5,27,160
100%,,1.0,48.89523,2.3231,Paris,75017,Île-de-France,4,Entire home/apt,1.0,1.0,1.0,$60.00,$40.00,"$1,000.00",4,30,1
100%,,1.0,48.8763,2.29428,Paris,75017,Ile-de-France,6,Entire home/apt,3.0,2.0,4.0,$290.00,$0.00,$300.00,6,30,60
92%,,3.0,48.84809,2.2979700000000003,Paris,75015,Ile-de-France,1,Entire home/apt,1.0,1.0,1.0,$44.00,$20.00,$0.00,7,730,5
100%,,1.0,48.85082,2.34951,Paris,75005,Ile-de-France,3,Entire home/apt,1.0,1.0,1.0,$160.00,$40.00,$500.00,4,30,22
100%,,1.0,48.840579999999996,2.30353,Paris,75015,Ile-de-France,4,Entire home/apt,1.0,1.0,3.0,$80.00,$52.00,$300.00,3,365,119
62%,,6.0,48.85459,2.36499,Paris,75004,Ile-de-France,5,Entire home/apt,2.0,1.5,0.0,$320.00,,,3,60,141
100%,,7.0,48.8482,2.35281,Paris,75005,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$130.00,$50.00,$400.00,3,365,120
100%,,1.0,48.87188,2.35649,Paris,75010,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$100.00,$50.00,$500.00,7,100,97
,,1.0,48.828959999999995,2.35228,Paris,75013,Ile-de-France,5,Entire home/apt,3.0,1.5,4.0,$225.00,,$225.00,4,21,1
,,2.0,48.87338,2.37879,Paris,75019,Ile-de-France,2,Entire home/apt,1.0,1.0,2.0,$60.00,$25.00,$300.00,2,1125,3
100%,,1.0,48.86347,2.34118,Paris,75001,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$95.00,$50.00,$300.00,2,400,172
100%,,3.0,48.8603,2.35387,Paris,75004,Ile-de-France,3,Entire home/apt,1.0,1.5,2.0,$139.00,$80.00,$300.00,3,365,110
88%,,1.0,48.83573,2.3464,Paris,75013,Ile-de-France,4,Entire home/apt,3.0,1.0,3.0,$80.00,,,6,18,5
100%,,1.0,48.881879999999995,2.39385,Paris,75019,Île-de-France,1,Entire home/apt,1.0,1.0,1.0,$60.00,$15.00,$400.00,5,20,150
100%,,1.0,48.85116,2.31935,Paris,75007,Ile-de-France,2,Entire home/apt,1.0,1.0,0.0,$180.00,$100.00,$300.00,3,730,44
88%,,1.0,48.84967,2.37816,Paris,75012,Ile-de-France,3,Entire home/apt,1.0,1.0,1.0,$50.00,$40.00,$199.00,5,20,70
,,1.0,48.87153,2.37342,Paris,75010,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$80.00,,$200.00,2,15,12
100%,,1.0,48.86411,2.34309,Paris,75001,Île-de-France,3,Entire home/apt,1.0,1.0,2.0,$135.00,$0.00,$0.00,3,20,95
80%,,1.0,48.86058,2.36421,Paris,75003,Ile-de-France,3,Entire home/apt,1.0,1.0,1.0,$85.00,$45.00,$400.00,3,365,70
100%,,5.0,48.857009999999995,2.36331,Paris,75004,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$48.00,$50.00,"$1,200.00",30,730,15
100%,,1.0,48.86895,2.40142,Paris,75020,Île-de-France,2,Private room,0.0,1.5,1.0,$45.00,$30.00,$200.00,4,365,182
100%,,2.0,48.85756,2.36519,Paris,75003,Île-de-France,2,Private room,1.0,1.0,1.0,$99.00,,,2,365,206
100%,,1.0,48.82417,2.35078,Paris,75013,Ile-de-France,1,Private room,1.0,1.0,1.0,$27.00,,,7,365,36
100%,,3.0,48.88658,2.32538,Paris,75018,Île-de-France,10,Entire home/apt,4.0,4.5,6.0,$600.00,$0.00,"$1,500.00",2,365,100
100%,,1.0,48.881159999999994,2.33446,Paris,75009,Île-de-France,5,Entire home/apt,2.0,1.0,5.0,$110.00,$50.00,$650.00,5,730,58
65%,,93.0,48.85689,2.3577,Paris,75003,Ile-de-France,4,Entire home/apt,1.0,1.0,3.0,$185.00,$60.00,$900.00,5,365,6
,,1.0,48.87146,2.38845,Paris,75020,Ile-de-France,3,Entire home/apt,1.0,1.0,2.0,$90.00,,,2,730,193
100%,,2.0,48.839259999999996,2.34695,Paris,75005,Ile-de-France,2,Private room,1.0,1.0,1.0,$60.00,$50.00,$200.00,30,190,35
100%,,1.0,48.885020000000004,2.36017,Paris,75010,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$85.00,$25.00,$500.00,5,70,46
89%,,1.0,48.8505,2.29093,Paris,75015,Ile-de-France,2,Entire home/apt,1.0,1.0,2.0,$71.00,$40.00,$300.00,14,365,35
65%,,93.0,48.855959999999996,2.3317200000000002,Paris,75006,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$135.00,$60.00,$500.00,30,365,1
100%,,1.0,48.88414,2.33831,Paris,75018,Ile-de-France,3,Entire home/apt,1.0,1.5,2.0,$79.00,$49.00,$400.00,3,60,81
100%,,1.0,48.85597,2.38757,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$53.00,,,5,30,37
100%,,2.0,48.856590000000004,2.36502,Paris,75003,Ile-de-France,3,Private room,1.0,1.0,2.0,$125.00,$0.00,$0.00,2,10,71
100%,,1.0,48.86015,2.34198,Paris,75001,Île-de-France,5,Entire home/apt,1.0,1.0,3.0,$185.00,$50.00,$300.00,3,1125,117
,,2.0,48.85624,2.33838,Paris,75006,Ile-de-France,4,Entire home/apt,1.0,1.0,2.0,$155.00,$60.00,$300.00,30,365,18
100%,,1.0,48.87039,2.3611,Paris,75010,Ile-de-France,4,Entire home/apt,2.0,1.0,3.0,$150.00,$40.00,$150.00,7,730,11
80%,,2.0,48.84118,2.31775,Paris,75015,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$105.00,,$300.00,4,730,49
100%,,2.0,48.88495,2.33574,Paris,75018,Île-de-France,4,Entire home/apt,1.0,1.0,2.0,$95.00,$50.00,$200.00,1,30,239
,,1.0,48.8302,2.35406,Paris,75013,Île-de-France,2,Entire home/apt,1.0,1.5,3.0,$95.00,$50.00,,365,365,15
100%,,43.0,48.83638,2.33082,Paris,75014,Ile-de-France,4,Entire home/apt,2.0,1.0,3.0,$140.00,$140.00,$600.00,4,365,19
100%,,1.0,48.86428,2.39393,Paris,75020,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$55.00,$30.00,$500.00,7,150,11
90%,,1.0,48.85538,2.38957,Paris,75011,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$80.00,$50.00,$500.00,2,120,7
80%,,2.0,48.84079000000001,2.31731,Paris,75015,Ile-de-France,2,Entire home/apt,0.0,1.0,1.0,$105.00,,$300.00,4,730,69
100%,,1.0,48.85535,2.3721400000000004,Paris,75011,Île-de-France,6,Entire home/apt,3.0,2.5,4.0,$389.00,$120.00,"$1,500.00",3,600,38
,,1.0,48.89048,2.34504,Paris,75018,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$119.00,$40.00,$400.00,3,12,18
73%,,1.0,48.862320000000004,2.37465,Paris,75011,Ile-de-France,2,Private room,1.0,1.0,1.0,$60.00,$20.00,$150.00,2,7,3
100%,,1.0,48.82671,2.35568,Paris,75013,Île-de-France,1,Entire home/apt,1.0,1.0,1.0,$50.00,$35.00,$200.00,31,365,83
,,1.0,48.86396,2.3540799999999997,Paris,75003,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$150.00,$65.00,,4,30,221
,,1.0,48.86764,2.35836,Paris,75003,Ile-de-France,6,Entire home/apt,2.0,1.0,4.0,$115.00,$50.00,$250.00,9,45,9
100%,,1.0,48.885690000000004,2.3451400000000002,Paris,75018,Ile-de-France,4,Entire home/apt,2.0,1.0,2.0,$100.00,$0.00,$300.00,7,150,195
100%,,3.0,48.86485,2.36667,Paris,75011,Île-de-France,2,Entire home/apt,1.0,1.0,1.0,$60.00,,$200.00,1,30,35
100%,,4.0,48.87283,2.29638,Paris,75008,Ile-de-France,5,Entire home/apt,2.0,2.0,5.0,$449.00,$120.00,"$1,000.00",4,365,16
100%,,1.0,48.84473,2.3530900000000003,Paris,75005,Ile-de-France,2,Entire home/apt,1.0,1.0,1.0,$120.00,$40.00,$500.00,3,30,140
